ID_CLIENTE;FECHA_AFILIACIÓN;productos;BIN;BIN REC;FECHA_NACIMIENTO;MORA;CUPO;REGION;SEXO;INGRESOS;banca_cliente;comprasDía;ComprasNoche;comprasfinesdesemana;vecesenmoraultimoaño;numerodellamadasacontactoBAC;CHURN
11945853;3/04/2017;1;486647;AGROINSUMOS;26/12/1998;NORMAL;1000000;ORIENTE;F;600000;AGROPECUARIO;7;1;1;3;1;0
11244759;19/05/2017;1;486647;AGROINSUMOS;19/10/1998;NORMAL;1800000;OCCIDENTE;M;600000;AGROPECUARIO;8;14;9;3;1;0
10238047;9/03/2017;1;486647;AGROINSUMOS;11/08/1998;<180;3200000;BOGOTA;F;600000;AGROPECUARIO;2;5;6;1;0;0
9986590;15/11/2016;2;448185;CLASICA;13/07/1998;NORMAL;900000;SANTANDERES;F;600000;AGROPECUARIO;8;9;19;2;2;0
11040907;29/03/2017;2;486647;AGROINSUMOS;4/07/1998;<90;2000000;ANTIOQUIA;M;600000;AGROPECUARIO;0;3;8;0;3;0
9925735;16/05/2017;2;486647;AGROINSUMOS;12/06/1998;<90;1038000;BOGOTA;M;600000;PERSONAL;1;10;6;0;0;0
10860177;14/03/2017;1;486647;AGROINSUMOS;7/06/1998;<90;3300000;SUR;F;600000;AGROPECUARIO;8;6;15;3;3;0
9999742;5/12/2016;2;486647;AGROINSUMOS;24/05/1998;NORMAL;2000000;SANTANDERES;M;600000;PERSONAL;6;3;20;0;0;0
11064914;11/04/2017;1;486647;AGROINSUMOS;24/05/1998;<180;600000;ORIENTE;F;600000;PERSONAL;4;14;12;0;1;0
7069976;12/05/2017;2;486647;AGROINSUMOS;1/05/1998;NORMAL;876000;ANTIOQUIA;M;600000;PERSONAL;7;12;20;2;0;0
9940177;26/12/2016;1;486647;AGROINSUMOS;21/04/1998;NORMAL;3900000;BOGOTA;F;600000;PERSONAL;9;1;8;2;4;1
10356005;8/02/2017;1;486647;AGROINSUMOS;5/03/1998;PREJURIDICO;1000000;CAFETERA;M;600000;AGROPECUARIO;6;0;2;0;0;0
8617691;10/01/2017;1;486647;AGROINSUMOS;4/03/1998;NORMAL;1600000;ANTIOQUIA;M;600000;AGROPECUARIO;10;2;3;1;1;0
10076317;10/05/2017;1;486647;AGROINSUMOS;1/03/1998;NORMAL;2100000;ANTIOQUIA;F;600000;PERSONAL;6;13;1;3;3;0
11224722;2/03/2017;1;486647;AGROINSUMOS;28/02/1998;NORMAL;1900000;ANTIOQUIA;F;600000;PERSONAL;7;1;1;2;4;0
