TRABAJADOR;REGIONAL;VICEPRESIDENCIA;GERENCIA;FECHA INGRESO;FECHA RETIRO;Año Unificado;EDAD;Rangos Edad;RELACION LABORAL;Rotacion;MOTIVO RETIRO;GENERO;NIVEL DE CARGO;CARGO;ACCESO CREDITO;SGD(1/100);SDG DESCRIPCION;CARGA PRESTACIONAL;;;;;
202032145;8. DIRECCION NACIONAL;VP CREDITO                              ;VICEPRESIDENCIA DE CREDITO              ;2/01/2008;31/01/2020;2020 12:00:00;58; => 56 años;0;Voluntaria;Retiro Voluntario                       ;FEMENINO;Ejecutivo;ASESOR PRESIDENTE ;1;87;BUENO; $ 104.000.000 ;;;;;
202033146;8. DIRECCION NACIONAL;VP FINANCIERA;VICEPRESIDENCIA FINANCIERA              ;1/03/2017;28/02/2020;2020 12:00:00;56; => 56 años;0;Voluntaria;Retiro Voluntario                       ;MASCULINO;Ejecutivo;ASESOR PRESIDENTE ;1;89;BUENO; $ 104.000.000 ;;;;;
202034147;8. DIRECCION NACIONAL;VP FINANCIERA;VP ESTRATEGIA Y FINANZAS                ;18/06/2018;30/06/2020;2020 12:00:00;62; => 56 años;0;Voluntaria;Retiro Voluntario                       ;MASCULINO;Ejecutivo;ASESOR PRESIDENTE ;0;82;REGULAR; $ 104.000.000 ;;;;;
202035148;8. DIRECCION NACIONAL;PRESIDENCIA                             ;PRESIDENCIA                             ;13/07/2020;6/11/2020;2020 12:00:00;43;Entre 36 y 45 años;0;Voluntaria;Retiro Voluntario                       ;MASCULINO;Ejecutivo;ASESOR PRESIDENTE ;1;86;BUENO; $ 104.000.000 ;;;;;
202036149;8. DIRECCION NACIONAL;PRESIDENCIA                             ;PRESIDENCIA                             ;9/12/2020;9/07/2021;2021 12:00:00;36;Entre 36 y 45 años;0;Voluntaria;Retiro Voluntario                       ;FEMENINO;Ejecutivo;ASESOR PRESIDENTE ;0;77;REGULAR; $ 104.000.000 ;;;;;
202037150;1. ANTIOQUIA;VP BANCA AGROPECUARIA                   ;VICEPRESIDENCIA DE BANCA AGROPECUARIA   ;16/04/2019;16/01/2020;2020 12:00:00;28;Entre 25 y 30 años;0;Voluntaria;Retiro Voluntario                       ;FEMENINO;Contribuyente;ASESOR COMERCIAL;1;90;BUENO; $ 45.632.000 ;;;;;
202038151;1. ANTIOQUIA;VP BANCA AGROPECUARIA                   ;VICEPRESIDENCIA DE BANCA AGROPECUARIA   ;11/02/2019;10/02/2020;2020 12:00:00;37;Entre 36 y 45 años;0;Involuntaria;Terminacion de Contrato                 ;FEMENINO;Contribuyente;ASESOR COMERCIAL;1;99;EXCELENTE; $ 45.632.000 ;;;;;
202039152;1. ANTIOQUIA;VP BANCA AGROPECUARIA                   ;VICEPRESIDENCIA DE BANCA AGROPECUARIA   ;7/11/2018;18/02/2020;2020 12:00:00;29;Entre 25 y 30 años;0;Voluntaria;Retiro Voluntario                       ;FEMENINO;Contribuyente;ASESOR COMERCIAL;0;79;REGULAR; $ 45.632.000 ;;;;;
202040153;1. ANTIOQUIA;VP BANCA AGROPECUARIA                   ;REGIONAL COMERCIAL                      ;2/10/2018;10/03/2020;2020 12:00:00;27;Entre 25 y 30 años;0;Voluntaria;Retiro Voluntario                       ;FEMENINO;Contribuyente;ASESOR COMERCIAL;0;100;EXCELENTE; $ 45.632.000 ;;;;;
202041154;1. ANTIOQUIA;VP BANCA AGROPECUARIA                   ;REGIONAL COMERCIAL                      ;5/10/2015;10/03/2020;2020 12:00:00;30;Entre 25 y 30 años;0;Voluntaria;Retiro Voluntario                       ;MASCULINO;Contribuyente;ASESOR COMERCIAL;1;95;EXCELENTE; $ 45.632.000 ;;;;;
